N,0,1,2,3,4,5,6,7,8,9,10,11,12,13,J1,J2,Ground_State_Energy,Ground_State_Eigenvectors
10,-1,1,1,-1,1,-1,1,1,1,1,0,0,0,0,3.0,1.0,-11.515932083972777,0.0
12,1,1,-1,1,1,1,1,-1,-1,-1,1,1,0,0,1.0,1.0,-5.6242102777441145,-0.0
11,1,1,1,1,1,-1,-1,1,1,-1,-1,0,0,0,1.0,1.0,-4.889887169484582,-0.0
8,-1,-1,1,1,-1,1,1,1,0,0,0,0,0,0,1.0,2.0,-6.595981741221324,-0.0
11,-1,1,1,-1,-1,-1,1,-1,-1,1,1,0,0,0,1.0,0.5,-3.976754118841829,-2.6e-07
11,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,0,0,0,2.0,0.5,-8.502670883570776,0.0
12,1,1,1,-1,-1,1,1,1,-1,1,1,-1,0,0,3.0,2.0,-13.948405448413023,0.0
12,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,0,0,3.0,2.0,-13.948405448413023,-0.0
11,-1,-1,1,1,1,-1,1,-1,1,1,1,0,0,0,1.0,1.0,-4.889887169484582,0.0
11,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1.0,2.0,-8.979151469060442,0.0
11,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,0,0,0,3.0,2.0,-12.00820535216408,-0.0
11,1,1,-1,1,1,-1,-1,1,-1,-1,1,0,0,0,1.0,0.5,-3.976754118841829,-0.00166857
12,-1,1,1,-1,1,1,-1,1,-1,-1,-1,1,0,0,2.0,0.5,-9.450107364561678,-0.01413427
8,-1,1,1,1,-1,1,1,-1,0,0,0,0,0,0,3.0,2.0,-9.260437657925785,-0.0
12,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,0,0,1.0,2.0,-10.162214181732828,0.0
12,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,0,0,3.0,2.0,-13.948405448413023,-0.0
12,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,0,0,1.0,2.0,-10.162214181732828,0.0
12,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,0,0,1.0,0.5,-4.500000000000002,0.0
11,-1,1,1,-1,1,-1,1,-1,1,-1,-1,0,0,0,1.0,0.25,-4.251335441785388,0.04608173
11,-1,1,-1,-1,1,1,-1,1,1,1,-1,0,0,0,1.0,0.25,-4.251335441785388,0.0
12,1,1,1,-1,1,-1,1,-1,-1,1,1,-1,0,0,2.0,0.5,-9.450107364561678,-0.0
11,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,0,0,0,1.0,0.5,-3.976754118841829,-0.0
12,1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,0,0,1.0,0.25,-4.725053682280839,0.00357704
12,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,3.0,2.0,-13.948405448413023,0.0
